dataset,dataset_label,model_label,model_id,interface_name,interface_label,train_size,rank,updates,exact_match,f1,answer_contained,avg_prompt_tokens,truncated_count,source_summary
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_evidence_triples,Structured triples,2000,8,125,0.993333,0.993333,0.993333,100.22,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_gold_evidence_triples_summary.json
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_sentences,Oracle support,2000,8,125,0.746667,0.816426,0.793333,154.94,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_gold_supporting_sentences_summary.json
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,no_context,No context,2000,8,125,0.27,0.315173,0.293333,57.09,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_no_context_summary.json
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_bm25_order,BM25 order,2000,8,125,0.663333,0.72964,0.706667,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_bm25_order_summary.json
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_bm25_top5docs,BM25 top-5,2000,8,125,0.566667,0.628657,0.613333,634.73,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_bm25_top5docs_summary.json
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,2000,8,125,0.626667,0.69381,0.686667,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_context_summary.json
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_order,Cross-enc order,2000,8,125,0.676667,0.735765,0.72,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_order_summary.json
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top3docs,Cross-enc top-3,2000,8,125,0.513333,0.591815,0.556667,429.18,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_top3docs_summary.json
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,2000,8,125,0.576667,0.645714,0.616667,623.8,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_top5docs_summary.json
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,2000,8,125,0.706667,0.772344,0.753333,1059.25,0,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_support_first_summary.json
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,gold_supporting_paragraphs,Oracle support,2000,8,125,0.59,0.692406,0.613333,404.9,0,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_gold_supporting_paragraphs_summary.json
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,no_context,No context,2000,8,125,0.07,0.143999,0.07,61.48,0,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_no_context_summary.json
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_bm25_order,BM25 order,2000,8,125,0.45,0.538993,0.47,2473.23,37,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_bm25_order_summary.json
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_bm25_top5docs,BM25 top-5,2000,8,125,0.28,0.377041,0.3,685.58,0,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_bm25_top5docs_summary.json
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_context,Raw context,2000,8,125,0.463333,0.562185,0.483333,2473.21,37,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_context_summary.json
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_order,Cross-enc order,2000,8,125,0.42,0.521894,0.44,2473.22,37,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_crossenc_order_summary.json
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top3docs,Cross-enc top-3,2000,8,125,0.273333,0.379344,0.29,447.54,0,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_crossenc_top3docs_summary.json
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_crossenc_top5docs,Cross-enc top-5,2000,8,125,0.33,0.437418,0.343333,699.58,0,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_crossenc_top5docs_summary.json
musique,MuSiQue,Qwen2.5-Coder-14B,Qwen/Qwen2.5-Coder-14B-Instruct,raw_support_first,Support first,2000,8,125,0.506667,0.616725,0.54,2473.21,37,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_support_first_summary.json
