dataset,train_size,interface,em,f1,answer_contained,avg_prompt_tokens,truncated_count,elapsed_minutes,summary_path
2wiki,4000,gold_evidence_triples,0.9933333333333333,0.9933333333333333,0.9933333333333333,100.22,0,11.314097356796264,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_gold_evidence_triples_summary.json
2wiki,4000,gold_supporting_sentences,0.7766666666666666,0.843989417989418,0.8266666666666667,154.94333333333333,0,18.694317146142325,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_gold_supporting_sentences_summary.json
2wiki,4000,raw_context,0.7133333333333334,0.7824896584896585,0.76,1059.25,0,43.13951648076375,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_raw_context_summary.json
2wiki,4000,raw_crossenc_top5docs,0.6,0.6626322751322752,0.6333333333333333,623.8,0,51.06296283006668,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_raw_crossenc_top5docs_summary.json
2wiki,4000,raw_support_first,0.76,0.8217037037037037,0.8033333333333333,1059.2466666666667,0,43.104901965459185,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n4000_raw_support_first_summary.json
hotpotqa,500,gold_supporting_sentences,0.61,0.7612142857142857,0.6633333333333333,156.16,0,3.414012416203817,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n500_gold_supporting_sentences_summary.json
hotpotqa,500,raw_context,0.57,0.7267657527657527,0.6233333333333333,1484.2633333333333,1,8.524947778383892,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n500_raw_context_summary.json
hotpotqa,500,raw_ftcrossenc_top5docs,0.6,0.7421387686387686,0.6433333333333333,685.4433333333334,0,4.457913108666738,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n500_raw_ftcrossenc_top5docs_summary.json
hotpotqa,500,raw_support_first,0.6233333333333333,0.7660911495911495,0.67,1484.2633333333333,1,8.535144968827565,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n500_raw_support_first_summary.json
hotpotqa,1000,gold_supporting_sentences,0.62,0.7811411736411736,0.6766666666666666,156.16,0,6.25368978579839,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n1000_gold_supporting_sentences_summary.json
hotpotqa,1000,raw_context,0.5666666666666667,0.730003848003848,0.6233333333333333,1484.2633333333333,1,18.273115468025207,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n1000_raw_context_summary.json
hotpotqa,1000,raw_ftcrossenc_top5docs,0.6,0.7462763347763348,0.64,685.4433333333334,0,12.199877468744914,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n1000_raw_ftcrossenc_top5docs_summary.json
hotpotqa,1000,raw_support_first,0.63,0.7846887926887927,0.68,1484.2633333333333,1,21.332064580917358,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n1000_raw_support_first_summary.json
hotpotqa,2000,gold_supporting_sentences,0.6366666666666667,0.7871967291967292,0.6933333333333334,156.16,0,11.813881742954255,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_gold_supporting_sentences_summary.json
hotpotqa,2000,raw_context,0.59,0.7479853294853295,0.6366666666666667,1484.2633333333333,1,52.73693399031957,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_context_summary.json
hotpotqa,2000,raw_ftcrossenc_top5docs,0.61,0.7547126022126022,0.6533333333333333,685.4433333333334,0,19.40332951148351,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_ftcrossenc_top5docs_summary.json
hotpotqa,2000,raw_support_first,0.6533333333333333,0.8011067821067821,0.69,1484.2633333333333,1,46.19426201581955,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_support_first_summary.json
hotpotqa,4000,gold_supporting_sentences,0.64,0.7959365079365079,0.69,156.16,0,13.102937750021617,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n4000_gold_supporting_sentences_summary.json
hotpotqa,4000,raw_context,0.6266666666666667,0.7797049062049062,0.6766666666666666,1484.2633333333333,1,81.56174799203873,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n4000_raw_context_summary.json
hotpotqa,4000,raw_ftcrossenc_top5docs,0.6233333333333333,0.7679401154401154,0.67,685.4433333333334,0,62.3052366177241,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n4000_raw_ftcrossenc_top5docs_summary.json
hotpotqa,4000,raw_support_first,0.6566666666666666,0.806075036075036,0.69,1484.2633333333333,1,63.958965090910596,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n4000_raw_support_first_summary.json
musique,1000,gold_supporting_paragraphs,0.5633333333333334,0.688832522029453,0.6166666666666667,404.9033333333333,0,8.394798143704731,experiments/outputs/rank_sweep/musique_qwen14b_r8_n1000_gold_supporting_paragraphs_summary.json
musique,1000,raw_context,0.4,0.5115080453788894,0.42333333333333334,2473.2066666666665,37,43.65794166326523,experiments/outputs/rank_sweep/musique_qwen14b_r8_n1000_raw_context_summary.json
musique,1000,raw_crossenc_top5docs,0.30333333333333334,0.42223713323713324,0.32666666666666666,699.5833333333334,0,13.655188937981924,experiments/outputs/rank_sweep/musique_qwen14b_r8_n1000_raw_crossenc_top5docs_summary.json
musique,1000,raw_support_first,0.4766666666666667,0.5767314929552781,0.5,2473.2066666666665,37,32.58606165647507,experiments/outputs/rank_sweep/musique_qwen14b_r8_n1000_raw_support_first_summary.json
musique,2000,gold_supporting_paragraphs,0.59,0.6924057663469428,0.6133333333333333,404.9033333333333,0,20.571193826198577,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_gold_supporting_paragraphs_summary.json
musique,2000,raw_context,0.4633333333333333,0.5621854681266446,0.48333333333333334,2473.2066666666665,37,56.176490346590676,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_context_summary.json
musique,2000,raw_crossenc_top5docs,0.33,0.43741830065359477,0.3433333333333333,699.5833333333334,0,30.18489137887955,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_crossenc_top5docs_summary.json
musique,2000,raw_support_first,0.5066666666666667,0.6167253953491805,0.54,2473.2066666666665,37,67.48532443841299,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_support_first_summary.json
musique,4000,gold_supporting_paragraphs,0.6433333333333333,0.7470365984777749,0.6766666666666666,404.9033333333333,0,40.039661677678424,experiments/outputs/rank_sweep/musique_qwen14b_r8_n4000_gold_supporting_paragraphs_summary.json
musique,4000,raw_context,0.47,0.5808448361338386,0.49666666666666665,2473.2066666666665,37,102.30460716088614,experiments/outputs/rank_sweep/musique_qwen14b_r8_n4000_raw_context_summary.json
musique,4000,raw_crossenc_top5docs,0.34,0.4594779022720199,0.36666666666666664,699.5833333333334,0,59.18899139563243,experiments/outputs/rank_sweep/musique_qwen14b_r8_n4000_raw_crossenc_top5docs_summary.json
musique,4000,raw_support_first,0.5633333333333334,0.6508640785328412,0.5866666666666667,2473.2066666666665,37,102.08977135419846,experiments/outputs/rank_sweep/musique_qwen14b_r8_n4000_raw_support_first_summary.json
